Date,Word,Count
2020-01-01,participants,19
2020-01-01,patients,19
2020-01-01,previous,17
2020-01-01,perception,17
2020-01-01,noise,16
2020-01-01,years,15
2020-01-01,potential,15
2020-01-01,social,15
2020-01-01,higher,15
2020-01-01,abstract,15
2020-01-01,signal,14
2020-01-01,effects,14
2020-01-01,sound,14
2020-01-01,temporal,14
2020-01-01,subjects,14
2020-01-02,abstract,42
2020-01-02,participants,33
2020-01-02,patients,22
2020-01-02,perception,20
2020-01-02,noise,20
2020-01-02,communication,20
2020-01-02,people,20
2020-01-02,social,19
2020-01-02,previous,18
2020-01-02,years,18
2020-01-02,higher,17
2020-01-02,signal,17
2020-01-02,clinical,17
2020-01-02,potential,16
2020-01-02,sound,16
2020-01-03,abstract,43
2020-01-03,participants,34
2020-01-03,patients,23
2020-01-03,noise,23
2020-01-03,people,23
2020-01-03,communication,22
2020-01-03,perception,20
2020-01-03,social,20
2020-01-03,signal,20
2020-01-03,years,19
2020-01-03,previous,18
2020-01-03,higher,18
2020-01-03,clinical,18
2020-01-03,aim,18
2020-01-03,temporal,17
2020-01-04,abstract,43
2020-01-04,participants,34
2020-01-04,noise,25
2020-01-04,communication,24
2020-01-04,patients,23
2020-01-04,people,23
2020-01-04,signal,22
2020-01-04,perception,20
2020-01-04,social,20
2020-01-04,years,19
2020-01-04,previous,18
2020-01-04,higher,18
2020-01-04,clinical,18
2020-01-04,aim,18
2020-01-04,temporal,17
2020-01-05,abstract,43
2020-01-05,participants,35
2020-01-05,noise,25
2020-01-05,communication,24
2020-01-05,people,24
2020-01-05,patients,23
2020-01-05,signal,22
2020-01-05,social,21
2020-01-05,perception,20
2020-01-05,years,19
2020-01-05,higher,19
2020-01-05,previous,18
2020-01-05,clinical,18
2020-01-05,aim,18
2020-01-05,temporal,17
2020-01-06,abstract,44
2020-01-06,participants,35
2020-01-06,noise,26
2020-01-06,patients,25
2020-01-06,communication,24
2020-01-06,people,24
2020-01-06,signal,23
2020-01-06,social,23
2020-01-06,years,22
2020-01-06,perception,21
2020-01-06,number,20
2020-01-06,higher,19
2020-01-06,previous,18
2020-01-06,clinical,18
2020-01-06,aim,18
2020-01-07,abstract,44
2020-01-07,participants,36
2020-01-07,noise,28
2020-01-07,patients,26
2020-01-07,communication,26
2020-01-07,people,25
2020-01-07,signal,23
2020-01-07,social,23
2020-01-07,years,23
2020-01-07,perception,22
2020-01-07,number,20
2020-01-07,effects,20
2020-01-07,measures,20
2020-01-07,conclusions,20
2020-01-07,higher,19
2020-01-08,abstract,44
2020-01-08,participants,36
2020-01-08,noise,29
2020-01-08,communication,28
2020-01-08,patients,26
2020-01-08,years,26
2020-01-08,people,25
2020-01-08,conclusions,25
2020-01-08,signal,24
2020-01-08,social,24
2020-01-08,perception,22
2020-01-08,measures,21
2020-01-08,differences,21
2020-01-08,clinical,21
2020-01-08,potential,21
2020-01-09,abstract,44
2020-01-09,participants,37
2020-01-09,communication,30
2020-01-09,noise,29
2020-01-09,patients,28
2020-01-09,years,27
2020-01-09,people,26
2020-01-09,conclusions,25
2020-01-09,social,25
2020-01-09,signal,24
2020-01-09,perception,23
2020-01-09,potential,23
2020-01-09,clinical,22
2020-01-09,loss,22
2020-01-09,measures,21
2020-01-10,abstract,46
2020-01-10,participants,42
2020-01-10,patients,32
2020-01-10,communication,31
2020-01-10,noise,30
2020-01-10,years,29
2020-01-10,conclusions,29
2020-01-10,people,27
2020-01-10,perception,26
2020-01-10,social,25
2020-01-10,signal,24
2020-01-10,clinical,24
2020-01-10,potential,23
2020-01-10,loss,23
2020-01-10,measures,22
2020-01-11,abstract,46
2020-01-11,participants,42
2020-01-11,patients,32
2020-01-11,communication,31
2020-01-11,noise,30
2020-01-11,years,29
2020-01-11,conclusions,29
2020-01-11,people,27
2020-01-11,perception,26
2020-01-11,social,25
2020-01-11,signal,24
2020-01-11,clinical,24
2020-01-11,potential,23
2020-01-11,loss,23
2020-01-11,children,23
2020-01-12,abstract,48
2020-01-12,participants,42
